,id,english,translated
14,663512,"Even where the farmers ` land is not being taken directly , the farmers are in trouble .",<unk> কৃষকদের কৃষকদের কৃষকদের কৃষকদের উপর উপর নির্ভরশীল নজর না রয়েছে রয়েছে ৷ ৷
15,663513,i need to email susan and metion,<unk> রাজীবকে রাজীবকে
16,663514,turn all lights off during the day,<unk> শো বন্ধ বন্ধ করুন করুন
17,663515,The meaning of more gravy in food is excess fat .,<unk> বেশি খাবার মাত্রা হল ৷ ৷
18,663516,Thus Laljee received the tabor ingredients from many scholars .,<unk> এইভাবে এই এই পারিবারিক মদ দার্শনিক থেকে থেকে বাঁচায় বাঁচায় ৷ ৷
19,663517,Maximum number of sandalwood forests are visible near Munnar city .,<unk> মোট মোট মোট এলাকা ভাগে ৷ অবস্থিত
20,663518,In case of pain in the lower stomach and an increase in the menstruation by exercising use homeopathic medicine sipia-6 thrice a day .,<unk> রক্তস্রাব রক্তস্রাব হলে হলে রক্তে রক্তে রক্তস্রাব ব্যাথা করলে হয় বার ׀ করে
21,663519,With respect to health as well Maandu is an excellent tourist spot and is also inexpensive economically .,<unk> থাইল্যান্ডে সাথে সাঁতার ও এবং ভালো ভালো পর্যটন কেন্দ্র ৷ ৷
22,663520,Which is the nearest medical store in district Ludhiana from my current location?,<unk> আমার আমার নিকটস্থ বর্তমান ব্লাড শহর কত?
23,663521,what year was chuck norris born,<unk> গতকাল গতকাল কত ছিল
24,663522,It is invariant and is always included in all ragams.,<unk> এটি পোষাক এবং এবং পোষাক । ।
25,663523,"Actually the farming of coriander is done in some amount all over India but it ` s commercial farming is done in Gujarat , Rajasthan , Haryana , Punjab , Bihar , Andhra Prdesh , Madhya Pradesh , Tamil Nadu and Maharashtra .",<unk> ভারতেই ভারতে ভারতীয় দেশে দেশে কার্যরত হয় হয় কিন্তু কিন্তু এটি ভারতেই ভারতেই চাষ চাষ করা হয় হয়
26,663524,On one of the walls of the Cathedral church the verses of Quran have been carved .,<unk> ভূটানের ভূটানের একটায় দরজায় আরবী আরবী আরবী বিরাজমান ছিল ׀ ׀
27,663525,After that he presents the beginning part of the story of the swang .,<unk> তারপরে সেই সেই সদস্যরা পরে তিনি তিনি নবম নিজেরাই
28,663526,"The word Bhīma in Sanskrit means ""fearful"", ""terrific"", ""terrible"", ""awful"", ""formidable"", ""tremendous"".","<unk> ত্রিপুরী শব্দের ""ভীম"" অর্থ ""আইস"
29,663527,Physical weight is less in proportion to height .,<unk> বেশি ওজন বেশি বেশি হয় হয় ৷ ৷
30,663528,"This medicine is mainly used for digestion related abnormalities , asthma and bronchitis .",<unk> এই রোগীদের ঔষধি জন্য হল অব্যর্থ ওষুধ ওষুধ ৷ ৷
31,663529,"Birds , rivers , and gusts of breeze mean an unprecedented treasure of natural beauty .",<unk> সবুজে সবুজে ভরা খাওয়ার প্রতীক সৌন্দর্য দেয় দেয় ৷ ৷
32,663530,A large section of Indian population is vegetarian.,<unk> ভারতের দেশ একটি রয়েছে। বিবরণ <pad> রাখে। <pad>
33,663531,"In early March, the wind direction changes from north-westerly to south-westerly.",<unk> শীতকালে থেকে ট্রেনটি দক্ষিণ-পশ্চিম ক্রিয়া ক্রিয়া থেকে। থেকে।
34,663532,Because of this on Saturday `` Bhag Milkha Bhag `` did a collection of 100.5 million and on Sunday it collected more than 120 million .,<unk> তারপরে এই এই ছেলে থেকে সাড়ে ₹ কোটি কোটি টাকা টাকা আয় দিয়েছেন দিল ৷ ৷
35,663533,The Dalgando village of 2000 years old temples has very special importance from consideration of tourism .,<unk> মন্দিরের কাল প্রতি থেকে থেকে মোটামুটি অনেক অনেক প্রস্তর ׀ খনি
36,663534,"Ousted from his ancestral domains in Central Asia, Babur turned to India to satisfy his ambitions.",<unk> তাঁর এশিয়ায় পৈতৃক মারাঠা বিতাড়িত বাবর বাবর তাঁর স্থানান্তরিত কাছে করেছিলেন।
37,663535,"Tanna signed up with the project while still working for Kyunki Saas Bhi Kabhi Bahu Thi, as her role in Kyunki was not that of a major character.",<unk> জেনারেল আক্রমণে মেমোরিয়াল আক্রমণে আক্রমণে আক্রমণে আক্রমণে আক্রমণে আক্রমণে আক্রমণে আক্রমণে আক্রমণে
38,663536,"In 1751, the Nawab of Bengal, Alivardi Khan, ceded the region to the Maratha Empire.",<unk> ১৭৫১ সালে ইংরেজ দাক্ষিণাত্যের আলিবর্দী আলিবর্দী আনুষ্ঠানিকভাবে দেন। আসেন।
39,663537,"The nucleocapsid, in turn, is enveloped within a host-derived membrane modified with two viral glycoproteins.",<unk> একটি হল ছোট একটি ছোট ডাক্তারদের ছোট জিন ছোট
40,663538,"Tissues get damaged from excess of iron also , even death can occur .",<unk> গল গল থেকে থেকেও বেশি বেশি রক্তপাত চর্বির হতে থেকেও পারে করে ৷ ৷
41,663539,Allergy starts arising in skin from insect bites also .,<unk> ফলে ফলে কৌষ্ঠকাঠিন্য চুলকানি থেকে হয়ে বাঁচায় যায় ৷ ৷
42,663540,Sathyan served as an officer in the British Indian Army during World War II.,<unk> সত্যন ব্রিটিশ ব্রিটিশ খামারে অফিসার ব্রিটিশ অফিসার অফিসার হিসেবে হিসেবে পালন দায়িত্ব করেন। পালন
43,663541,After constipation stool containing mucous comes out .,<unk> পরে পর বারবার ঘা ব্যাথা হয়ে ৷ ৷ ৷
44,663542,place order for a chicken manchow soup from wangs kitchen restaurant,<unk> ওয়াং স্যুপের জন্য জন্য খান। বাটি
45,663543,"He started getting invitation from good music gatherings of India and he dazzled the eyes of the listeners with his sitar performance in all the music gatherings whether in Allahabad , Bombay or Kolkata .",<unk> তিনি হিন্দী হিন্দী হিন্দী এবং গান ওনার থেকে যুক্ত ওনার করে গেছেন তোলে । ।
46,663544,Apricot - Its chief place is western China .,<unk> এর এর চাষের চাষের জন্য ৷ ৷
47,663545,has david got back to me yet,<unk> ইব্রাহিম এখনো আমাকে গিয়েছিলেন এসেছে।
48,663546,The everyday various market figures are collected and they are published .,<unk> আদি আদি লোক গুণ অনেক রয়েছে কথায় ৷ ।
49,663547,olly i am taking day off tomorrow,<unk> অলি আমি আমার ঘুম
50,663548,She has passion of book collection and reading .,<unk> তিনি নিশ্চিতভাবেই বাদ্যযন্ত্রের ছন্দের গল্প করেছেন । ।
51,663549,There is a beautiful campus of extremely old royal temples in the lap of Kuppad which is called Giri Ganga compound .,<unk> কুপ্পড়ের কোলে কুপ্পড়ের আছে মন্দির যাকে নন্দার পরিসর পরিসর পরিসর আছে
52,663550,A single sample can be taken if the situation in all the above farms is similar .,<unk> উপরিউক্ত উপরিউক্ত ক্ষেতে উপর উপবাস নির্ণয় যায় করা ।
53,663551,"Every music lover is familiar to Ustaad Amir Khan , the ex representative of Kirana tradition .","<unk> হিন্দী গানের গীতিকার গীতিকার ,"
54,663552,"If one looks from the perspective of produce , the producers can face 30-50 percent loss because of this problem .",<unk> যকৃতে থেকে থেকে হাড়ের মধ্যে মাত্রা এই জানা মাত্রা যায় ডেকে ৷ যায় যায় ৷ ৷
55,663553,"You took a little rest and then forgot it , but not this that this symptom is pointing towards the deficiency of iron .",<unk> আপনি আপনি মসৃণ হবেন বোধ না করছেন
56,663554,The wounded passengers have been admitted to the Dr. Rajendra Prasad government medical college in Tanda by a rescue team.,<unk> ত্রিপুরী মন্ত্রালয় মন্ত্রালয় বোর্ডের বোর্ডের অধীনে অষ্টম অষ্টম জন পড়ানো পদে হয়েছে। ঘোষণা করেছেন। করেছেন।
57,663555,i want you to remind me to take my rain coat because it may rain,<unk> আমি চাই আমার যাতে আলো আমার থেকে আলো জ্বালিয়ে লেভেল
58,663556,"Similarly , the language of ` Anant mein Maun ` ( dedicated to respected Shamsherji ) is intuitive and simple , but is not devoid of poetry .","<unk> এরকমভাবে এরকমভাবে এরকমভাবে (স্বয়ং (স্বয়ং (স্বয়ং (স্বয়ং (স্বয়ং (স্বয়ং বাবুর বাবুর ভাষা বিহীন বিহীন , বিহীন কিন্তু বিহীন"
59,663557,"Are you spending too much, too little, or just the right amount?",<unk> আপনি অথবা ফ্রিল্যান্স কিছু কাজ ভোজ করতে
60,663558,The survey team shall inquire about the major produces and the possible industries of the villages .,<unk> সরকারের সরকারের তথ্য শিল্পকে এবং আয়োজক আয়োজক মন্ত্রালয়ের দেওয়া বিস্তার হয়েছে করেছে । ।
61,663559,"If you have interest in architecture then Karla Nandan Kanan is for you , but for that you will have stayed here for more than a day .",<unk> যদি আপনি আপনি বাস্তুকলার বাস্তুকলার জন্য অনেক আপনি কারলা কানন কানন কানন কানন কানন কানন কানন কানন কানন
62,663560,During pregnancy and after pregnancy the falling of hair in women is a common thing .,<unk> স্ত্রী এবং উপবাস পুরুষদের বাড়ার পর মধ্যে সাইটিকা পুনঃ পুনঃ মধ্যে মধ্যে সাইটিকা ৷ ৷
63,663561,According to Miller there is a need for further research on the results of the research .,<unk> প্রকল্পের মতে জ্ঞানের জ্ঞানের জন্য জন্য সিদ্ধান্তের একটি বিধি পদ্ধতি রয়েছে । ।
64,663562,play a country station,<unk> স্টেশন চালান চালান
65,663563,"Multan was controlled by Jalaluddin's son Arkali, who harboured the fugitives from Delhi.",<unk> মুলতান থেকে আরকালির মালভূমিতে রাজপুত প্রভাবিত মালভূমিতে করেছিলেন। প্রভাবিত
66,663564,"One of the most remarkable astronomical instruments invented in Mughal India, is the lost-wax cast, hollow, seamless, celestial globe.",<unk> প্রাচীনতম প্রাচীনতম ভাষায় সর্বাধিক মহিমা জনপ্রিয় হল আরেক বলে। ভাষায়
67,663565,Benzoin medicine should not be taken internally .,<unk> সিরাম উচিত ৷ ৷
68,663566,Thus the price of agricultural products fall .,<unk> এই কৃষি উতপাদনের উতপাদনের কমতে উন্নতি ৷ করে
69,663567,"Also the use of chemical pharmaceuticals , fertilizers etc. is less .",<unk> ব্যবস্থাপনার তেলের প্রয়োগ প্রয়োগ হয় হয় ৷ <pad>
70,663568,For protection against it the dose and vaccine of polio are important .,<unk> এর জন্য জন্য হামের মাত্রা ও হল জরুরী জরুরী
71,663569,This created an extensive family of martial arts and sports that can trace their lineage to jujutsu in some part.,<unk> এই এই ঐতিহাসিক ঐতিহাসিক এবং এবং এবং এবং এবং নিজেদেরকে নিজেদেরকে প্রদানের আত্মরক্ষার নিরীক্ষা মোকাবিলা করে। করে।
72,663570,Beuatiful ornate pillars and floors are the charm of this building .,<unk> অরাইশ অরাইশ কাঠ ৷ শোভা
73,663571,Wake up in the morning and mix sugar in it .,<unk> আগষ্টে পরিষ্কার করুন করুন ৷
74,663572,Do not give more instructions to the family members of the patient but assist them .,<unk> মহিলাদের হলে না বেশি না চাপ দেবেন দেবেন না না ׀ ׀
75,663573,For the method of uttan kukkutasana while sitting in padmasana keep hands in the front .,<unk> মর্কটাসন বিধির বসে জন্য কুনুইকে শুয়ে নাভির জন্য জন্য রাখুন। শুয়ে
76,663574,Diagnostic histroscopy can be used in all those diseases where dialotation and curetaz is needed .,<unk> আজকালকার থেরাপির প্রেরণ মতো করা অসুবিধা হয় করা ৷ হয় <pad> ׀
77,663575,Do not give sweet food more than required .,<unk> প্রয়োজনের প্রয়োজনের বেশি বেশি বেশি না বেশি করবেন খাবেন
78,663576,Like the lotus flower the Pemayangtse Monastery is located at a height of 2085 metres .,<unk> পদ্ম তাল পেমেঙ্গেস পেমেঙ্গেস মোনাস্ট্রী উঁচুতে হল অবস্থিত ৩৩৭ রয়েছে মিটার ׀ উঁচুতে
79,663577,"The evergreen forests on the hill slopes and the sandy river banks are dominated by species such as Dipterocarpus, Artocarpus, Amoora, Elaeocarpus, and Syzygium and Eugenia.","<unk> বেলে নদী এবং এবং ইলাইওকার্পাস চিরহরিৎ ইলাইওকার্পাস আর্টোকার্পাস, এবং ইলাইওকার্পাস ইলাইওকার্পাস মালভূমি এবং ইলাইওকার্পাস ইউজেনিয়ার"
80,663578,There was unparalleled enthusiasm in the crowd .,<unk> দইয়ের উপস্থিত ছিল ছিল ৷ ৷
81,663579,order a pizza from pizza express,<unk> ট্রিট
82,663580,Kashyap also did a course in Mountaineering while studying in IIT .,<unk> আশিস সালে একটি একটি ব্রাহ্মণ বন্ধুর ৷
83,663581,Most countries or customs unions have central banks that provide information on their currency.,<unk> বেশীর বা বছরেরও তাদের নির্ভরশীল মধ্যে তাদের তাদের তুলনায় তুলনায় পুনরুজ্জীবিত সর্বাধিক করে।
84,663582,In the leaves there is high humidity and in that there are more nutrients.,<unk> মোটা ও ঠান্ডার মারাত্মক মধ্যে উপস্থিতি থাকে। হয়।
85,663583,It is obvious that in the pavilion of these countries viewers would get to see several special things .,<unk> মনে মনে হয় করা হয় হয় মানুষের ৷ সাথে
86,663584,A caravan of jeeps starts for the Kisli village in the morning and waits at the gate .,<unk> সমুদ্রতটের সমুদ্রতটের জন্য জন্য কোচি ও ও ট্যাক্সি দৌড় থাকে যন্ত্রও
87,663585,In fast speed and busy life of Mumbai it is the sea that gives the people there some freshness and open air .,<unk> পৃথিবীকে পৃথিবীকে এবং সূর্যাস্ত হল হল এগুলির মধ্যে মধ্যে অনেক ৷
88,663586,This cone is attached to a glass bottle.,<unk> বাগানে কাচের কাচের মুদ্রা।
89,663587,The Gosthani's waters are diverted for agricultural and industrial purposes and the river is the chief source of drinking water for the cities of Vizianagaram and Visakhapatnam.,<unk> মাটি এবং এবং কাচের কাচের বৃক্ষ বৃক্ষ এবং এবং এর ২-৩ জন্য টি বৃক্ষ নদী।
90,663588,"According to the scientists , the everyday food of an adult should essentially have 15 mg of zinc which saves from obesity .",<unk> বৈজ্ঞানিকদের মতে মতে দুধের দুধের ভাণ্ডার মতে থেকে দুধের দস্তা মিগ্রা বেশি দুধের মাত্রায় মধ্যে বেশি মাত্রায় মাত্রায়
91,663589,The rail head to reach Gir National Park Sasan Village is very near to the park .,<unk> মরুস্থল মরুস্থল রাষ্ট্রীয় উদ্যান উদ্যান ׀ ׀
92,663590,"North American fighters tend to favour a more balanced stance, facing the opponent almost squarely, while many European fighters stand with their torso turned more to the side.","<unk> কেন্দ্রীয় যুগ নারী থেকে থেকে বঞ্চিত বঞ্চিত করে করেছিল, তাদের তাদের মধ্যে একটি একটি পদক্ষেপ সাহসী দেয়। বাহিনী"
93,663591,Embryonic stem cells are taken out in the early stages of foetus through fertility clinics .,<unk> পলিথিন পদ্ধতিতে ফুসফুসে নিম্নলিখিত করা তত্ত্বে হয় ৷ উপকার
94,663592,delete my shopping list,<unk> আমার মুছে মুছুন দিন
95,663593,There was a statue of eight metals of Dattatreya in this temple .,<unk> এই সালে এই শিব মন্দিরে আশ্রমে ছিলেন হয়েছিল ৷ ৷
96,663594,Having expanded in Chitrakot the Indrāvati river forms the charming waterfall .,<unk> সমুদ্রে নদীতে নদীতে অবস্থিত অবস্থিত ৷ ৷
97,663595,are there any good movies running in nearby theaters,<unk> চট্টগ্রাম কোন কোন কি মজার আছে দোকান
98,663596,"Of course, there are many variables that can affect the price you’ll pay.",<unk> অনেক অনেক রকমের রকমের নুন
99,663597,Cherong and Tangchhenmu villages belong to the Geela clan of Thembang.,<unk> দুর্গের এবং মধ্যে এবং প্রাক্তন ১২টি জাহাজ অবশিষ্টাংশ রয়েছে। রয়েছে।
100,663598,The patient of khooni sarsam sometimes laughs or sometimes cries .,<unk> রোগী কখনও কখনও সেরে কন্যা যায় না ৷ ৷
101,663599,how far away is seattle,<unk> ঢাকার
102,663600,Organisation of R.C.H. Outdoor sessions .,<unk> কম্পিউটার নির্বাচন ৷ করুন
103,663601,how many hours gone from midnight on city,<unk> থেকে থেকে কত মাইল মাইল
104,663602,Still others may want to buy a motor home after retiring and travel the country.,<unk> একই একই সময়ে থাকতে কেউ পারে সংযোগমূলক এবং এবং এবং
105,663603,Find different ways to fold up your dollar bills or checks by searching on wikiHow.,<unk> ইনস্টাগ্রাম মুদ্রা বা কিনুন আপনার আপনার সুগন্ধী দোকান উপর খান। নির্ভর
106,663604,"This ` Motorised Flying Ant ` collection , which is fond of traveling , appeared in print on all garments .",<unk> এই শব্দের এন্ট এন্ট এন্ট এন্ট পরিধানে পরিধানে পরিধানে পরিধানে পরিধানে । ।
107,663605,Kempty Falls were developed as a tourist destination by British officer John Mekinan in around 1835.,<unk> ১৮৩৫ সালে সালে ব্রিটিশ কেম্প্টি কেম্প্টি কেম্প্টি কেম্প্টি হয়েছিল। হয়েছিল।
108,663606,12 % pigs of the world are raised in this country which is equals the number of United states of America .,<unk> বিশ্বের বিশ্বের মোট শতাংশ শতাংশ শতাংশ অবদান পেয়েছে রয়েছে ৷ ৷
109,663607,"80 percent of the total sandalwood oil produced in north India was sent to European countries such as France , England , Netherlands , United States of America and Hungary .","<unk> ভারতে উতপন্ন উতপন্ন উতপন্ন উতপন্ন দেশগুলিতে করে উতপন্ন উতপন্ন করা করে হয় , ৷ ইংল্যান্ড উতপাদনে , এবং"
110,663608,Take the child only after washing the hand .,<unk> বাচ্চা পরিষ্কার পরিষ্কার করুন করুন ৷ ৷
111,663609,when is the next train to glasgow from aberdeen,<unk> রেলগাড়ী রেলগাড়ী থেকে থেকে ছাড়বে ছাড়বে
112,663610,These years would see his last on-screen appearances for some time.,<unk> এই এই সপ্তাহ লোকেদের জন্য জন্য অধীর অধীর
113,663611,In West Bengal after the prayers running for nine days on Dussehra there is a tradition of dispersing honourably the statues of Mother Durga in the ocean and the rivers .,<unk> মাকাউয়ের দূর্গা দূর্গা দিন দূর্গা দূর্গা দূর্গা দূর্গা মূর্তিকে মূর্তিকে বিসর্জিত বিসর্জিত করে আর বিসর্জিত অস্থি করার হল
114,663612,Its population growth rate over the decade 2001-2011 was 6.23%.,<unk> এর এর এর হার এর ছিল উৎপাদন । করে।
115,663613,"In fact, in the summer months, there is almost no flow in most parts of the river.","<unk> প্রকৃতপক্ষে, গ্রীষ্মের গ্রীষ্মের অংশে অংশে গ্রীষ্মের পার্থক্য অংশে নেই। দেখা"
116,663614,It `s A.B.O and R.H. group is again tested .,<unk> এটি আবার এবং ধাক্কা হয় ৷ ৷
117,663615,"Sharan Rani collected rare instruments from various places and presented it to National museum on 14th July , 1980 .",<unk> মহম্মদ থেকে চৌক থেকে অবস্থিত এক্সপ্রেস দূরে দিল্লী অবস্থিত ৷ ৷
118,663616,report any new emails,<unk> ইমেল
119,663617,For this government is planning to take the help of Goans .,<unk> এর বাড়ানোর জন্য জন্য আবশ্যক আবশ্যক । । <pad>
120,663618,The nearest airport from Valapattanam - Karipur International Airport is 100 k.m. far .,<unk> পরশ্শিনিক্কটবু আকৃতির দিল্লীর স্টেশন রাস্তার হল আকর্ষণ । ׀
121,663619,"Few important names in slate are Jak Black, Silver Shine, Silver grey, Panther, Deoli Green, Peacock, Peacock Multi, Kund Black, Kund Multi and so on.",<unk> কিছু অবধারণে উল্লেখযোগ্য যেমন ছোলা এবং মিটার) চিকেন আধিক্য এবং
122,663620,can you tell me how to cook chocolate chip cookies,<unk> আপনি চকোলেট চকোলেট চকোলেট চকোলেট চকোলেট
123,663621,how is it outside today,<unk> কেমন কেমন
124,663622,The naru worms reach the digestive system by drinking contaminated water where the naru worms come out of the Cyclopes and enter the tissues of the skin and begin to grow .,<unk> কান্ডের কান্ডের নীচের নীচের মাড়িতে মাড়িতে জমে শরীর যায় আর আর শরীরের গর্ভবস্থা মাড়িতে থেকে মাড়িতে বার হয়ে
125,663623,The most beautiful specimens of wall paintings are found to be sent in the internal parts of Laxminarayan .,<unk> গুহা গুহা হল হল ঝিলের ঝিলের মতো মতো ৷
126,663624,How many valid coupons do I have in Google Pay ?,<unk> আমার আমাজন কতগুলি বৈধ বৈধ আছে? আছে?
127,663625,"Various Balinese kites is on display in front of a store in Ubud, Bali, Indonesia",<unk> তালিকায় তালিকায় উবাদ্য লেকে হোটেলের পরিবেশিত উপরে যায়। লাগে।
128,663626,"An investigation by the Animal Welfare Board of India concluded that ""jallikattu is inherently cruel to animals"".",<unk> একটি ধর্মনিরপেক্ষ ধর্মনিরপেক্ষ ইউনিয়নের সংগঠন দ্বারা করা প্রতিষ্ঠিত হয়। হয়। <pad>
129,663627,"It is estimated that 30,000 chitals (Axis axis) are in the Sundarbans part of the delta.","<unk> বিশ্বাস করা প্রায় হয় যে যে ব-দ্বীপের সুন্দরবনের মাঝখানে ৩০,০০০ বিস্তৃত। চিতল"
130,663628,"It is sometimes called Deva-Diwali or Deva-Deepawali, the festival of the lights of the gods.",<unk> দেবতাদের দেবতাদের উৎসবকে উৎসবকে বা অথবা কখনও কখনও কখনও কখনও কখনও কখনও কখনও কখনও কখনও কখনও কখনও কখনও
131,663629,The quantity and method of having sun-warmed water ( medicine ) and sun-chargd medicines .,<unk> জল সিস্টেম ও রক্তচাপের অম্লতা মাত্রা ৷ ৷
132,663630,set an alarm for eight am,<unk> অ্যালার্ম অ্যালার্ম দাও
133,663631,do i have a grocery list ready,<unk> আমার মুদির মুদির তালিকা তালিকা আছে
134,663632,It is considered that planting during these days does not yield good crop .,<unk> এই নয় লাভজনক যে ফসলের সময় উত্পাদন উপলব্ধ উত্পাদন হয় ৷ ৷
135,663633,If all the major variables of Udaipur are considered then we reach to the conclusion that the per capita land holding size is very low and the tenant-farming practice is also very less .,<unk> উদয়পুরের যদি যথার্থ যথার্থ প্রতিনিধিদের হয় মনে তাহলে করা হয় স্পর্শকাতর ৷ আমাদের
136,663634,"Portals contain featured articles and images, news, categories, excerpts of key articles, links to related portals, and to-do lists for editors.","<unk> সুগঠিত সুগঠিত এবং উদ্ধৃতি, সম্পাদকদের বিভাগ, উদ্ধৃতি, এবং সম্পাদকদের সম্পাদকদের সম্পাদকদের উদ্ধৃতি, লিঙ্ক থাকে। আছে।"
137,663635,send a reply to this email,<unk> পাঠান পাঠান
138,663636,It can be assumed that a correspondent does n`t use his pen with an unfair motive to put down or put up a person .,<unk> এটা বলা জানা যেতেই যে অসম্মান অসম্মান অসম্মান অসম্মান অসম্মান অসম্মান কলমের কলমের অসম্মান অপব্যবহার কলমের করে সাথে
139,663637,"The main reason was that Neelkurunji flower , the one that blooms every 12 years , had bloomed .",<unk> শকুন এতটাই ছিল ছিল যে যে ভাগীরথী সেগুলির ছিল মধ্যে ৷ ভাগীরথী
140,663638,"The philosophers and musical bards, patronised by these empires, launched socio-religious and literary movements which have endured to the present day.",<unk> আবর্তিত এবং অনুপ্রাণিত সামাজিক-ধর্মীয় এবং ও পাশ্চাত্য অর্জুনায়ন লিপি রয়েছে। রয়েছে।
141,663639,what's the best place to eat near here,<unk> আজকের কাছে জন্য কি
142,663640,The edible items produced with chemical fertilizers make men and animals suffer from lethal diseases like cancer etc .,"<unk> রুটি, তেলের তেলের সাথে সাথে সাথে লড়তে লড়তে পারে পারে ৷ ৷"
143,663641,what will the weather be for the next week,<unk> আগামীকাল আবহাওয়া আবহাওয়া কেমন থাকবে?
144,663642,Many universities offer degrees in fashion management or design.,<unk> অনেক মধ্যে সামাজিক অনেকেই পারদর্শী থাকে।
145,663643,Here questions can be asked without prior information .,<unk> এখানে ক্যাব যেতে কাটাতে পারে পারে ৷ ৷
146,663644,remove my work alarm,<unk> আমার করুন
147,663645,will it rain tomorrow in miami,<unk> আগামীকাল কি হবে হবে
148,663646,i never want to hear that song again,<unk> গানটি গানটি শুনতে চাই
149,663647,The climate of Valley of Flowers National Park is alpine .,<unk> জুবিলি বিমানবন্দরও জলবায়ু ׀
150,663648,could you please book me a taxi going to location,<unk> আমাকে আমাকে দিনাজপুর কি পারবে বুক
151,663649,"Hunting used to be assumed as a medium of entertainment , food and communication or connectivity .",<unk> নেপথ্য মতে ব্যবহৃত পাখীদের নেপথ্য মধ্যে এবং কাজ করা করা হয় হয় ৷ ৷
152,663650,They are obtained by the last crop ( old plants ) of sacurse mentha .,<unk> বীজের বীজের উতপাদন বীজের করা দ্বারা হয় ৷ ৷
153,663651,Jaisalmer is the rail head for Desert National Park .,<unk> বাগডোগরা বিমানবন্দরও হল মরুস্থল ׀ ׀
154,663652,Around two third of the country `s population is engaged in farming .,<unk> বিশ্বের মোট ৭০ দেশে শতাংশ উতপন্ন ৷ করা
155,663653,turn up media volume,<unk> অ্যালার্ম
156,663654,For this it is essential to make agriculture policy .,<unk> এর জন্য জন্য প্রয়োজনীয় করা । হয়
157,663655,current time,<unk>
158,663656,Patient of malikholia suddenly talks loudly or starts laughing loudly .,<unk> মালীখোলিয়ার মালীখোলিয়ার রোগী বা অস্থির অস্থির হয়ে হয়ে যায় যায় ৷ ৷
159,663657,tell me to go to the grocery store after work,<unk> আমাকে বানাতে আমাকে বলুন বলুন
160,663658,"In 1757, to resist the invasion of the Zamorin of Kozhikode, the Palakkad Raja sought the help of the Hyder Ali of Mysore.",<unk> বাবর বাবর কোলার বাবর বাবর বাবর বাবর
161,663659,As such people go to Pudducherry `s trip all year long but if seen as per the season then the time from November to February is the best to visit this place .,<unk> এইভাবে এই এই মুহূর্তে কেল্লাটি এই কাটানোর সময় জন্য কাটানোর এই জন্য কাটানোর কাটানোর সময় জন্য কাটানোর এই
162,663660,"It rises in the western Vindhya Range, just south of Sardarpur, and flows northward through Madhya Pradesh state.",<unk> উত্তরে উত্তরে উত্তরে উৎপন্ন উৎপন্ন উৎপন্ন এবং উৎপন্ন উত্তর করে উৎপন্ন করে উৎপন্ন উৎপন্ন
163,663661,The British army surrounded Auwa Fort and the conflict lasted several days.,<unk> দুর্গটি রাজা দুর্গটি রাজবংশ এবং সালেম সালেম নেন। নেন।
164,663662,what is the weather back home today,<unk> আজ আবহাওয়া কি
